Part Name,Manufacturer,Compatible Car Models,Price,Stock Availability
"Sensor, Nockenwellenposition",HELLA,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,38.04,1
"Flexrohr, Abgasanlage",HJS,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,90.1,1
"Lader, Aufladung",MEAT & DORIA,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,1473.89,1
"Zündspule ""Green Mobility Parts""",VEMO,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,50.94,1
Zündspule,NGK,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,61.01,1
Zündspule,HELLA,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,50.34,1
Zündspule,BREMI,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,43.94,1
"Zündspule ""OE Equivalent""",FACET,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,36.31,1
"Gasfeder, Koffer-/Laderaum ""//  LIFT-O-MAT®""",STABILUS,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,58.32,1
"Kondensator, Klimaanlage ""EASY FIT""",NRF,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,135.79,1
Reifenschoner 44 x 20 x 4 cm,EAL,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,13.92,1
Reifenstift weiss,HP Autozubehör,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,5.06,1
TYREinflate 830,OSRAM,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,126.49,1
TYREinflate 6000,OSRAM,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,117.38,1
TYREinflate 4000,OSRAM,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,82.93,1
TYREinflate 450,OSRAM,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,54.1,1
TYREinflate 1000,OSRAM,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,75.32,1
TYREinflate 2000,OSRAM,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,61.67,1
TYREinflate 200,OSRAM,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,25.44,1
TYREseal KIT,OSRAM,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,53.57,1
"Heckklappenträger ""Thule OutWay 2bike Platform""",THULE,142450:  BMW 1 (F40) 118 i 136ps(100kw) Benzin,500.17,1
